sensitivity_case_id,base_case,parameter_name,parameter_value,parameter_multiplier,baseline_value,Tmax_global_baseline_C,Tmax_global_delta_C,S_Tmax_global,Tmax_contact_baseline_C,Tmax_contact_delta_C,S_Tmax_contact,Qdielectric_baseline_W,Qdielectric_delta_W,S_Qdielectric,heat_balance_status,field_singularity_flag,dielectric_loss_review_required,status,notes
RUN011B_CASE_006,SENS_BASELINE,tan_delta_multiplier,2.0,2.0,1.0,88.5885323,0.17442330000000084,0.0019689151120522723,58.7898495,3.165804299999998,0.0538495050918611,28.0485376,28.0485375,0.9999999964347517,VALID_STRICT,False,True,SOLVED_VALID,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_007,SENS_BASELINE,tan_delta_multiplier,5.0,5.0,1.0,88.5885323,3.3778792000000095,0.009532495663662805,58.7898495,12.6632173,0.05384950551710461,28.0485376,112.19415039999998,0.9999999999999999,VALID_STRICT,False,True,SOLVED_VALID,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_036,SENS_HIGH_RISK,Rc0_multiplier,0.5,0.5,1.0,134.974199,-25.037279999999996,0.3709935704082229,129.925482,-26.277630999999985,0.40450311356166435,28.0485376,0.0,-0.0,VALID_STRICT,False,True,SOLVED_VALID,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_037,SENS_HIGH_RISK,Rc0_multiplier,1.0,1.0,1.0,134.974199,0.0,,129.925482,0.0,,28.0485376,0.0,,VALID_STRICT,False,True,SOLVED_THERMAL_WARNING,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_038,SENS_HIGH_RISK,Rc0_multiplier,2.0,2.0,1.0,134.974199,53.269150999999994,0.3946617308690233,129.925482,52.555262,0.4045031135616646,28.0485376,0.0,0.0,VALID_STRICT,False,True,SOLVED_THERMAL_RISK,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_027,SENS_HIGH_RISK,epsr_RIP,3.5,0.833333333,4.2,134.974199,-0.5635670000000061,0.025052210163514554,129.925482,-0.5558819999999969,0.025670807209320037,28.0485376,-4.674604800000001,0.9999675990237722,VALID_STRICT,False,True,SOLVED_THERMAL_WARNING,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_028,SENS_HIGH_RISK,epsr_RIP,4.2,1.0,4.2,134.974199,0.0,,129.925482,0.0,,28.0485376,0.0,,VALID_STRICT,False,True,SOLVED_THERMAL_WARNING,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_029,SENS_HIGH_RISK,epsr_RIP,4.5,1.07142857,4.2,134.974199,0.2415290000000141,0.02505223979880925,129.925482,0.23823500000000308,0.025670791815881396,28.0485376,2.003404800000002,0.9999689680791075,VALID_STRICT,False,True,SOLVED_THERMAL_WARNING,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_033,SENS_HIGH_RISK,h_air,5.0,0.25,20.0,134.974199,27.67534599999999,-0.2733890003180039,129.925482,27.289020000000022,-0.2800479123871946,28.0485376,0.0,-0.0,VALID_STRICT,False,True,SOLVED_THERMAL_RISK,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_034,SENS_HIGH_RISK,h_air,10.0,0.5,20.0,134.974199,15.07046299999999,-0.22330879696496647,129.925482,14.859563000000009,-0.2287397786986853,28.0485376,0.0,-0.0,VALID_STRICT,False,True,SOLVED_THERMAL_RISK,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
