sensitivity_case_id,base_case,parameter_name,parameter_value,parameter_multiplier,load_multiplier_pu,current_A,oil_temperature_C,air_temperature_C,contact_resistance_multiplier_pu,voltage_multiplier_pu,source_model,notes
RUN011B_CASE_024,SENS_HIGH_RISK,tan_delta_multiplier,1.00000000,1.00000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_025,SENS_HIGH_RISK,tan_delta_multiplier,2.00000000,2.00000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_026,SENS_HIGH_RISK,tan_delta_multiplier,5.00000000,5.00000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_027,SENS_HIGH_RISK,epsr_RIP,3.50000000,0.833333333,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"absolute; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_028,SENS_HIGH_RISK,epsr_RIP,4.20000000,1.00000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"absolute; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_029,SENS_HIGH_RISK,epsr_RIP,4.50000000,1.07142857,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"absolute; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_030,SENS_HIGH_RISK,h_oil,100.000000,0.333333333,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"absolute_W_m2K; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_031,SENS_HIGH_RISK,h_oil,300.000000,1.00000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"absolute_W_m2K; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_032,SENS_HIGH_RISK,h_oil,500.000000,1.66666667,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"absolute_W_m2K; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_033,SENS_HIGH_RISK,h_air,5.00000000,0.250000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"absolute_W_m2K; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_034,SENS_HIGH_RISK,h_air,10.0000000,0.500000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"absolute_W_m2K; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_035,SENS_HIGH_RISK,h_air,20.0000000,1.00000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"absolute_W_m2K; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_036,SENS_HIGH_RISK,Rc0_multiplier,0.500000000,0.500000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_037,SENS_HIGH_RISK,Rc0_multiplier,1.00000000,1.00000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
RUN011B_CASE_038,SENS_HIGH_RISK,Rc0_multiplier,2.00000000,2.00000000,1.400000,1750.00000,105.000000,25.000000,20.000000,1.000000,field_coupled_Qdielectric,"multiplier; one-factor-at-a-time; not final SCI result"
