sensitivity_case_id,base_case,parameter_name,parameter_value,parameter_multiplier,Tmax_global_C,Tmax_conductor_C,Tmax_RIP_C,Tmax_contact_C,E95_RIP_V_per_m,Qjoule_conductor_W,Qcontact_W,Qdielectric_RIP_field_W,Qtotal_W,risk_zone,contact_risk_zone,heat_balance_status,field_singularity_flag,dielectric_loss_review_required,status
RUN011B_CASE_021,SENS_HIGH_RISK,k_RIP_multiplier,1.00000000,1.00000000,134.974199,128.878648,129.030999,129.925482,13106429.4,77.4522735,61.2500000,28.0485376,166.750811,warning,contact_warning,VALID_STRICT,false,true,SOLVED_THERMAL_WARNING
RUN011B_CASE_022,SENS_HIGH_RISK,k_RIP_multiplier,1.20000000,1.20000000,130.600663,124.555966,124.712455,125.611588,13106429.4,76.7120503,61.2500000,28.0485376,166.010588,warning,contact_warning,VALID_STRICT,false,true,SOLVED_THERMAL_WARNING
RUN011B_CASE_023,SENS_HIGH_RISK,tan_delta_multiplier,0.500000000,0.500000000,133.283376,127.207380,127.362101,128.257717,13106429.4,76.9798257,61.2500000,14.0242688,152.254094,warning,contact_warning,VALID_STRICT,false,true,SOLVED_THERMAL_WARNING
RUN011B_CASE_024,SENS_HIGH_RISK,tan_delta_multiplier,1.00000000,1.00000000,134.974199,128.878648,129.030999,129.925482,13106429.4,77.4522735,61.2500000,28.0485376,166.750811,warning,contact_warning,VALID_STRICT,false,true,SOLVED_THERMAL_WARNING
RUN011B_CASE_025,SENS_HIGH_RISK,tan_delta_multiplier,2.00000000,2.00000000,138.355845,132.221185,132.368796,133.261012,13106429.4,78.3971689,61.2500000,56.0970751,195.744244,warning,contact_warning,VALID_STRICT,false,true,SOLVED_THERMAL_WARNING
RUN011B_CASE_026,SENS_HIGH_RISK,tan_delta_multiplier,5.00000000,5.00000000,148.500782,142.248793,142.382479,143.267603,13106429.4,81.2318552,61.2500000,140.242688,282.724543,warning,contact_warning,VALID_STRICT,false,true,SOLVED_THERMAL_WARNING
RUN011B_CASE_027,SENS_HIGH_RISK,epsr_RIP,3.50000000,0.833333333,134.410632,128.321599,128.474740,129.369600,13107003.0,77.2947997,61.2500000,23.3739328,161.918733,warning,contact_warning,VALID_STRICT,false,true,SOLVED_THERMAL_WARNING
RUN011B_CASE_028,SENS_HIGH_RISK,epsr_RIP,4.20000000,1.00000000,134.974199,128.878648,129.030999,129.925482,13106429.4,77.4522735,61.2500000,28.0485376,166.750811,warning,contact_warning,VALID_STRICT,false,true,SOLVED_THERMAL_WARNING
RUN011B_CASE_029,SENS_HIGH_RISK,epsr_RIP,4.50000000,1.07142857,135.215728,129.117384,129.269397,130.163717,13106238.2,77.5197623,61.2500000,30.0519424,168.821705,warning,contact_warning,VALID_STRICT,false,true,SOLVED_THERMAL_WARNING
RUN011B_CASE_030,SENS_HIGH_RISK,h_oil,100.000000,0.333333333,133.986307,127.902181,128.055917,128.951061,13106429.4,77.1527791,61.2500000,28.0485376,166.451317,warning,contact_warning,VALID_STRICT,false,true,SOLVED_THERMAL_WARNING
RUN011B_CASE_031,SENS_HIGH_RISK,h_oil,300.000000,1.00000000,134.974199,128.878648,129.030999,129.925482,13106429.4,77.4522735,61.2500000,28.0485376,166.750811,warning,contact_warning,VALID_STRICT,false,true,SOLVED_THERMAL_WARNING
RUN011B_CASE_032,SENS_HIGH_RISK,h_oil,500.000000,1.66666667,135.517347,129.415515,129.567104,130.461223,13106429.4,77.6110513,61.2500000,28.0485376,166.909589,warning,contact_warning,VALID_STRICT,false,true,SOLVED_THERMAL_WARNING
RUN011B_CASE_033,SENS_HIGH_RISK,h_air,5.00000000,0.250000000,162.649545,155.874832,156.135466,157.214502,13106429.4,80.8756975,61.2500000,28.0485376,170.174235,thermal_risk,contact_risk,VALID_STRICT,false,true,SOLVED_THERMAL_RISK
RUN011B_CASE_034,SENS_HIGH_RISK,h_air,10.0000000,0.500000000,150.044662,143.558097,143.777305,144.785045,13106429.4,79.2554691,61.2500000,28.0485376,168.554007,thermal_risk,contact_warning,VALID_STRICT,false,true,SOLVED_THERMAL_RISK
RUN011B_CASE_035,SENS_HIGH_RISK,h_air,20.0000000,1.00000000,134.974199,128.878648,129.030999,129.925482,13106429.4,77.4522735,61.2500000,28.0485376,166.750811,warning,contact_warning,VALID_STRICT,false,true,SOLVED_THERMAL_WARNING
RUN011B_CASE_036,SENS_HIGH_RISK,Rc0_multiplier,0.500000000,0.500000000,109.936919,102.989777,109.936919,103.647851,13106429.4,74.5429242,30.6250000,28.0485376,133.216462,safe,contact_attention,VALID_STRICT,false,true,SOLVED_VALID
RUN011B_CASE_037,SENS_HIGH_RISK,Rc0_multiplier,1.00000000,1.00000000,134.974199,128.878648,129.030999,129.925482,13106429.4,77.4522735,61.2500000,28.0485376,166.750811,warning,contact_warning,VALID_STRICT,false,true,SOLVED_THERMAL_WARNING
RUN011B_CASE_038,SENS_HIGH_RISK,Rc0_multiplier,2.00000000,2.00000000,188.243350,180.656391,180.977973,182.480744,13106429.4,83.2709720,122.500000,28.0485376,233.819510,thermal_risk,contact_risk,VALID_STRICT,false,true,SOLVED_THERMAL_RISK
