artifact,exists,summary
"RUN009A baseline metrics",true,"STEADY_1250_LOAD_1p0,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009A_BASELINE,SOLVED_VALID,88.5885323,74.1360087,88.5885323,58.7898495,57.2147289,46.9059764,45634515.2,45634515.2,45634515.2,13106429.4,34.4333696,1.56250000,2..."
"RUN009A electric field diagnostics",true,"STEADY_1250_LOAD_1p0,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,'DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10'"
"RUN009A dielectric loss comparison",true,"STEADY_1250_LOAD_1p0,2.54518841,28.0485376,11.0202205,0.00000000,2357.79657,97318.3567,axisymmetric_2pi_r_RIP_domain_integral,SOLVED_VALID,'DIELECTRIC_LOSS_REVIEW_REQUIRED: Qdielectric_field/ref outside 0.1-10'"
"RUN009A heat source decomposition",true,"STEADY_1250_LOAD_1p0,34.4333696,1.56250000,28.0485376,0.00000000,64.0444071,34.4333696,1.56250000,2.06352949e-14,-8.52651283e-14,SOLVED_VALID,'RUN006 source normalization retained; dielectric heat uses omega*eps0*epsr*ta..."
"RUN009A heat balance diagnostics",true,"STEADY_1250_LOAD_1p0,64.0444071,60.4664997,-60.4189353,65.2151159,65.2626803,-1.21827322,-1.90223202,-0.654631711,VALID_STRICT,'RUN008B low-power heat-balance classification retained; negative oil term means heat enters ..."
"RUN009B 27-case metrics",true,"RUN009B_CASE_001,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RUN009B_27CASE,SOLVED_VALID,0.800000,1000.00000,75.000000,25.000000,1.000000,77.9852911,65.3983731,77.9852911,50.6103255,51.6144365,43.1827824,45634515.2,28.0485376,VA..."
"RUN009B 27-case validity",true,"RUN009B_CASE_001,SOLVED_VALID,true,true,true,true,true,true,false,true,''"
