case_id,run_id,Qjoule_conductor_W,Qcontact_W,Qdielectric_RIP_W,Qscreen_loss_W,Qtotal_W,conductor_volume_m3,contact_volume_m3,rip_volume_m3,conductor_cross_section_area_m2,effective_conductor_resistance_ohm,Qjoule_expected_I2R_W,Qcontact_expected_I2Rc_W,Qjoule_relative_error_pct,Qcontact_relative_error_pct,status,notes
RUN008_CASE_085,SOLID_ONLY_RISK_125_RUN008,70.6640428,30.6250000,2.54518841,0.00000000,103.834231,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.30739732e-05,70.6640428,30.6250000,-1.20662681e-13,-5.80034886e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
RUN008_CASE_086,SOLID_ONLY_RISK_125_RUN008,12.0527872,5.62500000,2.54518841,0.00000000,20.2229756,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.14271772e-05,12.0527872,5.62500000,-6.33740089e-13,-6.31593543e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
RUN008_CASE_087,SOLID_ONLY_RISK_125_RUN008,21.7528741,10.0000000,2.54518841,0.00000000,34.2980625,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.17528741e-05,21.7528741,10.0000000,-9.79929455e-14,-7.10542736e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
RUN008_CASE_088,SOLID_ONLY_RISK_125_RUN008,34.6656200,15.6250000,2.54518841,0.00000000,52.8358084,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.21859968e-05,34.6656200,15.6250000,4.09940879e-14,-7.95807864e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
RUN008_CASE_089,SOLID_ONLY_RISK_125_RUN008,51.1506017,22.5000000,2.54518841,0.00000000,76.1957901,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.27336008e-05,51.1506017,22.5000000,1.38911902e-14,-6.31593543e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
RUN008_CASE_090,SOLID_ONLY_RISK_125_RUN008,71.6740052,30.6250000,2.54518841,0.00000000,104.844194,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.34037568e-05,71.6740052,30.6250000,1.98270693e-13,-5.80034886e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
RUN008_CASE_091,SOLID_ONLY_RISK_125_RUN008,12.2296752,5.62500000,2.54518841,0.00000000,20.3998636,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.17416448e-05,12.2296752,5.62500000,4.06699202e-13,-6.31593543e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
RUN008_CASE_092,SOLID_ONLY_RISK_125_RUN008,22.0694952,10.0000000,2.54518841,0.00000000,34.6146836,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.20694952e-05,22.0694952,10.0000000,-2.41467713e-13,-7.10542736e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
RUN008_CASE_093,SOLID_ONLY_RISK_125_RUN008,35.1640165,15.6250000,2.54518841,0.00000000,53.3342049,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.25049706e-05,35.1640165,15.6250000,1.61652236e-13,-7.95807864e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
RUN008_CASE_094,SOLID_ONLY_RISK_125_RUN008,51.8789326,22.5000000,2.54518841,0.00000000,76.9241210,0.00432258016,7.84141526e-05,0.0118960804,0.00196035382,2.30573034e-05,51.8789326,22.5000000,6.84808553e-14,-6.31593543e-14,SOLVED_VALID,"2*pi*r source normalization; Qdielectric_RIP_W uses approximate_Qdielectric_ref; contact expected=I^2*Rc0*Rc_factor"
