case_id,run_id,status,load_multiplier_pu,current_A,oil_temperature_C,air_temperature_C,contact_resistance_multiplier_pu,Tmax_global_C,Tmax_conductor_C,Tmax_RIP_C,Tmax_contact_C,Tmax_silicone_C,Tmax_flange_C,thermal_warning,thermal_risk,risk_zone,contact_risk_zone,note
RUN008_CASE_016,SOLID_ONLY_RISK_125_RUN008,INVALID_CASE,0.600000,750.000000,95.000000,25.000000,1.000000,98.8809518,72.7766039,98.8809518,49.6121639,54.6146152,47.4428233,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_017,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.800000,1000.00000,95.000000,25.000000,1.000000,98.9281993,74.4121294,98.9281993,53.6502859,55.8186018,47.9011622,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_018,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.000000,1250.00000,95.000000,25.000000,1.000000,98.9629953,76.5871740,98.9629953,58.9983620,57.4419577,48.5316524,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_019,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.200000,1500.00000,95.000000,25.000000,1.000000,99.0352341,79.3338288,99.0352341,65.8028022,59.4342714,49.2855785,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_020,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.400000,1750.00000,95.000000,25.000000,1.000000,99.1528780,82.7209535,99.1528780,74.2193240,61.8490717,50.1700693,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_021,SOLID_ONLY_RISK_125_RUN008,INVALID_CASE,0.600000,750.000000,105.000000,25.000000,1.000000,109.427036,79.3053705,109.427036,52.3856369,58.6125273,50.5601279,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_022,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.800000,1000.00000,105.000000,25.000000,1.000000,109.474655,80.9705145,109.474655,56.4537928,59.8353665,51.0261038,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_023,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.000000,1250.00000,105.000000,25.000000,1.000000,109.538466,83.1462517,109.538466,61.8779750,61.4286861,51.6309945,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_024,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.200000,1500.00000,105.000000,25.000000,1.000000,109.582123,85.9493159,109.582123,68.7279369,63.5003785,52.4318737,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_025,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.400000,1750.00000,105.000000,25.000000,1.000000,109.704009,89.3808047,109.704009,77.2428872,65.9301206,53.3229990,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
