case_id,run_id,load_multiplier_pu,current_A,oil_temperature_C,contact_resistance_multiplier_pu,Qtotal_generated_W,Qremoved_air_W,Qremoved_oil_W,Qremoved_flange_W,Qremoved_total_W,Qoil_heat_in_W,Qoil_heat_out_W,Qboundary_heat_out_net_W,residual_W,residual_percent_Qgenerated,residual_percent_abs_boundary_flux,residual_percent_max_energy_scale,energy_scale_Qgenerated_W,energy_scale_abs_boundary_flux_W,energy_scale_max_W,valid_by_Qgenerated_percent,valid_by_absolute_residual,valid_by_max_energy_scale,heat_balance_status,notes
RUN008_CASE_012,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,0.800000,1000.00000,85.000000,1.000000,25.0351249,48.8147606,-79.7074843,57.703929,26.8112053,79.7074843,0,26.8112053,-1.7760804,-7.09435406,-0.95372222,-0.95372222,25.0351249,186.226174,186.226174,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_013,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.000000,1250.00000,85.000000,1.000000,38.1154892,54.4974833,-75.0473736,59.9057206,39.3558303,75.0473736,0,39.3558303,-1.2403411,-3.2541655,-0.654704312,-0.654704312,38.1154892,189.450578,189.450578,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_014,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.200000,1500.00000,85.000000,1.000000,54.5637324,61.7167057,-67.3976873,62.4005365,56.7195549,67.3976873,0,56.7195549,-2.1558225,-3.95101729,-1.12566812,-1.12566812,54.5637324,191.514929,191.514929,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_015,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.400000,1750.00000,85.000000,1.000000,74.6652038,70.5555514,-59.1047792,65.6442819,77.0950541,59.1047792,0,77.0950541,-2.4298503,-3.25432755,-1.2441336,-1.2441336,74.6652038,195.304613,195.304613,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_016,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,0.600000,750.000000,95.000000,1.000000,15.2553774,50.8779322,-98.8461604,65.0750399,17.1068117,98.8461604,0,17.1068117,-1.8514343,-12.1362733,-0.861937513,-0.861937513,15.2553774,214.799132,214.799132,false,true,true,VALID_LOW_POWER_RECLASSIFIED,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_017,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,0.800000,1000.00000,95.000000,1.000000,25.3520503,55.2415629,-94.5870733,66.7121415,27.3666311,94.5870733,0,27.3666311,-2.0145808,-7.9464216,-0.930347079,-0.930347079,25.3520503,216.540778,216.540778,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_018,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.000000,1250.00000,95.000000,1.000000,38.6141486,60.9879653,-89.9875367,68.9738122,39.9742408,89.9875367,0,39.9742408,-1.3600922,-3.52226386,-0.618366193,-0.618366193,38.6141486,219.949314,219.949314,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_019,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.200000,1500.00000,95.000000,1.000000,55.2834438,68.2671958,-83.0667186,71.635395,56.8358722,83.0667186,0,56.8358722,-1.5524284,-2.80812535,-0.696252056,-0.696252056,55.2834438,222.969309,222.969309,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_020,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.400000,1750.00000,95.000000,1.000000,75.6753486,77.2390354,-73.664735,74.7509432,78.3252436,73.664735,0,78.3252436,-2.649895,-3.5016621,-1.17431405,-1.17431405,75.6753486,225.654714,225.654714,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_021,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,0.600000,750.000000,105.000000,1.000000,15.4322709,57.2528152,-113.772039,74.0537175,17.5344937,113.772039,0,17.5344937,-2.1022228,-13.6222518,-0.857775033,-0.857775033,15.4322709,245.078572,245.078572,false,true,true,VALID_LOW_POWER_RECLASSIFIED,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_022,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,0.800000,1000.00000,105.000000,1.000000,25.6690684,61.6687341,-109.461359,75.7181785,27.9255536,109.461359,0,27.9255536,-2.2564852,-8.7906782,-0.91411829,-0.91411829,25.6690684,246.848272,246.848272,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_023,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.000000,1250.00000,105.000000,1.000000,39.1174874,67.4915436,-103.753688,77.8748368,41.6126924,103.753688,0,41.6126924,-2.495205,-6.37874558,-1.00160738,-1.00160738,39.1174874,249.120068,249.120068,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_024,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.200000,1500.00000,105.000000,1.000000,56.0111529,74.8417501,-97.8486181,80.7278105,57.7209425,97.8486181,0,57.7209425,-1.7097896,-3.05258776,-0.674690983,-0.674690983,56.0111529,253.418179,253.418179,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_025,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.400000,1750.00000,105.000000,1.000000,76.6842044,83.9202484,-88.1949897,83.8610371,79.5862958,88.1949897,0,79.5862958,-2.9020914,-3.7844709,-1.13373452,-1.13373452,76.6842044,255.976275,255.976275,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_026,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,0.600000,750.000000,65.000000,2.000000,15.2956849,32.1030166,-54.5666425,38.2950767,15.8314508,54.5666425,0,15.8314508,-0.5357659,-3.50272579,-0.428733672,-0.428733672,15.2956849,124.964736,124.964736,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_027,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,0.800000,1000.00000,65.000000,2.000000,25.4300374,36.6041003,-50.2326286,39.8829032,26.2543749,50.2326286,0,26.2543749,-0.8243375,-3.24158981,-0.650520749,-0.650520749,25.4300374,126.719632,126.719632,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_028,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.000000,1250.00000,65.000000,2.000000,38.7533111,42.5526648,-44.8038271,41.9992544,39.7480921,44.8038271,0,39.7480921,-0.994781,-2.56695743,-0.769027298,-0.769027298,38.7533111,129.355746,129.355746,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_029,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.200000,1500.00000,65.000000,2.000000,55.5083277,50.0794197,-37.3801568,44.5735486,57.2728115,37.3801568,0,57.2728115,-1.7644838,-3.17877312,-1.33639479,-1.33639479,55.5083277,132.033125,132.033125,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_030,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.400000,1750.00000,65.000000,2.000000,75.9943046,59.2881787,-28.8728563,47.8506534,78.2659758,28.8728563,0,78.2659758,-2.2716712,-2.98926507,-1.67020293,-1.67020293,75.9943046,136.011688,136.011688,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_031,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,0.600000,750.000000,75.000000,2.000000,15.473189,38.4888388,-68.8253029,47.1862188,16.8497547,68.8253029,0,16.8497547,-1.3765657,-8.89645761,-0.890978957,-0.890978957,15.473189,154.50036,154.50036,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_032,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,0.800000,1000.00000,75.000000,2.000000,25.7459674,43.0278047,-65.2891221,48.9232641,26.6619467,65.2891221,0,26.6619467,-0.9159793,-3.55775833,-0.582535098,-0.582535098,25.7459674,157.240191,157.240191,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_033,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.000000,1250.00000,75.000000,2.000000,39.2521306,49.0408003,-59.690826,51.0483752,40.3983495,59.690826,0,40.3983495,-1.1462189,-2.92014442,-0.717373194,-0.717373194,39.2521306,159.780001,159.780001,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_034,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.200000,1500.00000,75.000000,2.000000,56.238524,56.65587,-52.0753442,53.6330919,58.2136177,52.0753442,0,58.2136177,-1.9750937,-3.5119942,-1.21645807,-1.21645807,56.238524,162.364306,162.364306,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_035,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.400000,1750.00000,75.000000,2.000000,77.0069335,65.973498,-43.5482357,56.957067,79.3823293,43.5482357,0,79.3823293,-2.3753958,-3.08465185,-1.42684581,-1.42684581,77.0069335,166.478801,166.478801,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_036,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,0.600000,750.000000,85.000000,2.000000,15.6500881,44.864253,-83.7581811,56.1661013,17.2721732,83.7581811,0,17.2721732,-1.6220851,-10.3647027,-0.877806135,-0.877806135,15.6500881,184.788535,184.788535,false,true,true,VALID_LOW_POWER_RECLASSIFIED,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_037,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,0.800000,1000.00000,85.000000,2.000000,26.064318,49.4648979,-79.4139977,57.8295001,27.8804003,79.4139977,0,27.8804003,-1.8160823,-6.96769545,-0.97268379,-0.97268379,26.064318,186.708396,186.708396,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_038,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.000000,1250.00000,85.000000,2.000000,39.7504893,55.5287339,-74.5922647,60.1088871,41.0453563,74.5922647,0,41.0453563,-1.294867,-3.25748695,-0.680685369,-0.680685369,39.7504893,190.229886,190.229886,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_039,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.200000,1500.00000,85.000000,2.000000,56.9673171,63.2294733,-66.7270214,62.6982471,59.200699,66.7270214,0,59.200699,-2.2333819,-3.92046179,-1.15926651,-1.15926651,56.9673171,192.654742,192.654742,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_040,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,1.400000,1750.00000,85.000000,2.000000,78.0184781,72.6587833,-58.1603392,66.062224,80.5606681,58.1603392,0,80.5606681,-2.54219,-3.25844603,-1.29122949,-1.29122949,78.0184781,196.881347,196.881347,true,true,true,VALID_STRICT,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
RUN008_CASE_041,SOLID_ONLY_RISK_125_RUN008B_HEAT_BALANCE_FIX,0.600000,750.000000,95.000000,2.000000,15.8269857,51.239369,-98.6870066,65.1452043,17.6975667,98.6870066,0,17.6975667,-1.870581,-11.818934,-0.869748109,-0.869748109,15.8269857,215.07158,215.07158,false,true,true,VALID_LOW_POWER_RECLASSIFIED,strict if |residual/Qgenerated|<10%; low-power reclassification requires |residual_W|<3 W and |residual/max_energy_scale|<5%
