case_id,Emax_global_V_per_m,Emax_RIP_V_per_m,Emax_RIP_probe_excluding_edges_V_per_m,E95_RIP_V_per_m,Emean_RIP_V_per_m,field_singularity_flag,screen_end_hotspot_flag,notes
RUN010_CASE_056,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_057,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_058,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_059,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_060,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_061,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_062,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_063,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_064,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_065,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_066,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_067,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_068,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_069,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_070,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_071,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_072,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_073,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_074,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
