case_id,Qjoule_conductor_W,Qcontact_W,Qdielectric_RIP_field_W,Qscreen_loss_W,Qtotal_W,Qjoule_expected_I2R_W,Qcontact_expected_I2Rc_W,Qjoule_relative_error_pct,Qcontact_relative_error_pct,status,notes
RUN010_CASE_020,70.9141760,3.06250000,28.0485376,0.00000000,102.025214,70.9141760,3.06250000,3.00592678e-13,-1.45008722e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_021,12.4714118,0.562500000,28.0485376,0.00000000,41.0824494,12.4714118,0.562500000,1.13947442e-13,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_022,22.3899079,1.00000000,28.0485376,0.00000000,51.4384454,22.3899079,1.00000000,-6.50566593e-13,-6.66133815e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_023,35.4339432,1.56250000,28.0485376,0.00000000,65.0449808,35.4339432,1.56250000,0.00000000,-8.52651283e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_024,51.8410411,2.25000000,28.0485376,0.00000000,82.1395787,51.8410411,2.25000000,-4.52304000e-13,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_025,71.9245098,3.06250000,28.0485376,0.00000000,103.035547,71.9245098,3.06250000,-1.58064112e-13,-1.45008722e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_026,11.7739133,1.12500000,28.0485376,0.00000000,40.9474509,11.7739133,1.12500000,3.01744507e-14,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_027,21.1523695,2.00000000,28.0485376,0.00000000,51.2009071,21.1523695,2.00000000,6.71832756e-14,-6.66133815e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_028,33.5054455,3.12500000,28.0485376,0.00000000,64.6789830,33.5054455,3.12500000,-5.51376377e-13,-8.52651283e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_029,49.0735781,4.50000000,28.0485376,0.00000000,81.6221156,49.0735781,4.50000000,-1.15833043e-13,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_030,68.1741094,6.12500000,28.0485376,0.00000000,102.347647,68.1741094,6.12500000,-1.04224718e-13,-1.45008722e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_031,11.9505795,1.12500000,28.0485376,0.00000000,41.1241170,11.9505795,1.12500000,8.91851400e-14,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_032,21.4690814,2.00000000,28.0485376,0.00000000,51.5176189,21.4690814,2.00000000,3.30960940e-14,-6.66133815e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_033,34.0057323,3.12500000,28.0485376,0.00000000,65.1792699,34.0057323,3.12500000,-2.71632308e-13,-8.52651283e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_034,49.8038220,4.50000000,28.0485376,0.00000000,82.3523596,49.8038220,4.50000000,-1.14134652e-13,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_035,69.1844432,6.12500000,28.0485376,0.00000000,103.357981,69.1844432,6.12500000,-1.64324279e-13,-1.45008722e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_036,12.1272456,1.12500000,28.0485376,0.00000000,41.3007832,12.1272456,1.12500000,-3.51543669e-13,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_037,21.7857932,2.00000000,28.0485376,0.00000000,51.8343308,21.7857932,2.00000000,2.77227145e-13,-6.66133815e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_038,34.5060192,3.12500000,28.0485376,0.00000000,65.6795567,34.5060192,3.12500000,-2.05918490e-14,-8.52651283e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_039,50.5340659,4.50000000,28.0485376,0.00000000,83.0826035,50.5340659,4.50000000,8.43640094e-14,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_040,70.1947771,6.12500000,28.0485376,0.00000000,104.368315,70.1947771,6.12500000,4.04897781e-14,-1.45008722e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_041,12.3039118,1.12500000,28.0485376,0.00000000,41.4774493,12.3039118,1.12500000,-1.44373340e-14,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_042,22.1025051,2.00000000,28.0485376,0.00000000,52.1510426,22.1025051,2.00000000,-3.37549916e-13,-6.66133815e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_043,35.0063060,3.12500000,28.0485376,0.00000000,66.1798436,35.0063060,3.12500000,-4.26248843e-13,-8.52651283e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_044,51.2643098,4.50000000,28.0485376,0.00000000,83.8128474,51.2643098,4.50000000,-3.74230218e-13,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_045,71.2051109,6.12500000,28.0485376,0.00000000,105.378648,71.2051109,6.12500000,1.99576330e-13,-1.45008722e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_046,12.4805779,1.12500000,28.0485376,0.00000000,41.6541155,12.4805779,1.12500000,-4.12756114e-13,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_047,22.4192169,2.00000000,28.0485376,0.00000000,52.4677545,22.4192169,2.00000000,3.16934681e-14,-6.66133815e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_048,35.5065929,3.12500000,28.0485376,0.00000000,66.6801304,35.5065929,3.12500000,3.20185150e-13,-8.52651283e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_049,51.9945538,4.50000000,28.0485376,0.00000000,84.5430913,51.9945538,4.50000000,2.45982864e-13,-3.94745964e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_050,72.2154447,6.12500000,28.0485376,0.00000000,106.388982,72.2154447,6.12500000,3.93568295e-13,-1.45008722e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_051,11.8014116,2.81250000,28.0485376,0.00000000,42.6624492,11.8014116,2.81250000,6.02082835e-14,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_052,21.2402967,5.00000000,28.0485376,0.00000000,54.2888342,21.2402967,5.00000000,3.34525806e-14,-7.10542736e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_053,33.7233943,7.81250000,28.0485376,0.00000000,69.5844319,33.7233943,7.81250000,6.32091831e-14,-7.95807864e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_054,49.5341160,11.2500000,28.0485376,0.00000000,88.8326535,49.5341160,11.2500000,-2.29512197e-13,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_055,69.0469142,15.3125000,28.0485376,0.00000000,112.407952,69.0469142,15.3125000,-1.02907240e-13,-5.80034886e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_056,11.9780777,2.81250000,28.0485376,0.00000000,42.8391153,11.9780777,2.81250000,-4.15241849e-13,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_057,21.5570085,5.00000000,28.0485376,0.00000000,54.6055461,21.5570085,5.00000000,9.88833031e-14,-7.10542736e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_058,34.2236812,7.81250000,28.0485376,0.00000000,70.0847187,34.2236812,7.81250000,5.39804910e-13,-7.95807864e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_059,50.2643599,11.2500000,28.0485376,0.00000000,89.5628975,50.2643599,11.2500000,-5.65444571e-14,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_060,70.0572480,15.3125000,28.0485376,0.00000000,113.418286,70.0572480,15.3125000,2.02846317e-14,-5.80034886e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_061,12.1547439,2.81250000,28.0485376,0.00000000,43.0157814,12.1547439,2.81250000,-1.60759662e-13,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_062,21.8737204,5.00000000,28.0485376,0.00000000,54.9222579,21.8737204,5.00000000,9.74515616e-14,-7.10542736e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_063,34.7239680,7.81250000,28.0485376,0.00000000,70.5850056,34.7239680,7.81250000,6.13878059e-14,-7.95807864e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_064,50.9946038,11.2500000,28.0485376,0.00000000,90.2931414,50.9946038,11.2500000,-2.78673696e-14,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_065,71.0675818,15.3125000,28.0485376,0.00000000,114.428619,71.0675818,15.3125000,4.19921350e-13,-5.80034886e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_066,12.3314100,2.81250000,28.0485376,0.00000000,43.1924476,12.3314100,2.81250000,-2.59292514e-13,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_067,22.1904322,5.00000000,28.0485376,0.00000000,55.2389698,22.1904322,5.00000000,-8.00505741e-14,-7.10542736e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_068,35.2242548,7.81250000,28.0485376,0.00000000,71.0852924,35.2242548,7.81250000,2.01719735e-13,-7.95807864e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_069,51.7248478,11.2500000,28.0485376,0.00000000,91.0233853,51.7248478,11.2500000,4.12109131e-14,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_070,72.0779157,15.3125000,28.0485376,0.00000000,115.438953,72.0779157,15.3125000,4.73183096e-13,-5.80034886e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_071,12.5080762,2.81250000,28.0485376,0.00000000,43.3691137,12.5080762,2.81250000,-1.13613433e-13,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_072,22.5071441,5.00000000,28.0485376,0.00000000,55.5556816,22.5071441,5.00000000,3.15696533e-14,-7.10542736e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
