case_id,run_id,load_multiplier_pu,current_A,oil_temperature_C,air_temperature_C,contact_resistance_multiplier_pu,voltage_multiplier_pu,tan_delta_multiplier_pu,rip_aging_conductivity_multiplier_pu,pollution_multiplier_pu,source_model,notes
RUN010_CASE_019,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,1.200000,1500.00000,95.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_020,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,1.400000,1750.00000,95.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_021,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,0.600000,750.000000,105.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_022,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,0.800000,1000.00000,105.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_023,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,1.000000,1250.00000,105.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_024,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,1.200000,1500.00000,105.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_025,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,1.400000,1750.00000,105.000000,25.000000,1.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_026,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,0.600000,750.000000,65.000000,25.000000,2.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_027,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,0.800000,1000.00000,65.000000,25.000000,2.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_028,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,1.000000,1250.00000,65.000000,25.000000,2.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_029,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,1.200000,1500.00000,65.000000,25.000000,2.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_030,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,1.400000,1750.00000,65.000000,25.000000,2.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_031,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,0.600000,750.000000,75.000000,25.000000,2.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_032,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,0.800000,1000.00000,75.000000,25.000000,2.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_033,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,1.000000,1250.00000,75.000000,25.000000,2.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
RUN010_CASE_034,FULL_ELECTROTHERMAL_DIELECTRIC_LOSS_RISK_125_RUN010,1.200000,1500.00000,75.000000,25.000000,2.000000,1.000000,1.000000,1.000000,1.000000,field_coupled_Qdielectric,"full electrostatic field-coupled dielectric loss risk scan; not final SCI result"
