case_id,status,valid_temperature,valid_heat_balance,valid_Qjoule,valid_Qcontact,valid_Qdielectric,valid_selection,field_singularity_flag,dielectric_loss_review_required,thermal_warning,thermal_risk,overall_valid,failure_reason
RUN010_CASE_069,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_070,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_071,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_072,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_073,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_074,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_075,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_076,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_077,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_078,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_079,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_080,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_081,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_082,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_083,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_084,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_085,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_086,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_087,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_088,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_089,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_090,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_091,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_092,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_093,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_094,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_095,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_096,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_097,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_098,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_099,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_100,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_101,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_102,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_103,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_104,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_105,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_106,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_107,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_108,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_109,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_110,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_111,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_112,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_113,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_114,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
