selection_name,domain_ids,boundary_ids
geom_v3_g_cad_air_side_profile_034_bnd,"","143 144 146 248 313"
geom_v3_g_cad_air_side_profile_034_dom,"56",""
geom_v3_g_cad_air_side_profile_034_pnt,"",""
geom_v3_g_cad_air_side_profile_035_bnd,"","145 146 148 247"
geom_v3_g_cad_air_side_profile_035_dom,"57",""
geom_v3_g_cad_air_side_profile_035_pnt,"",""
geom_v3_g_cad_air_side_profile_036_bnd,"","147 148 150 249 272 282"
geom_v3_g_cad_air_side_profile_036_dom,"58",""
geom_v3_g_cad_air_side_profile_036_pnt,"",""
geom_v3_g_cad_air_side_profile_037_bnd,"","149 150 152 271"
geom_v3_g_cad_air_side_profile_037_dom,"59",""
geom_v3_g_cad_air_side_profile_037_pnt,"",""
geom_v3_g_cad_air_side_profile_038_bnd,"","153 154 156 257 314"
geom_v3_g_cad_air_side_profile_038_dom,"60",""
geom_v3_g_cad_air_side_profile_038_pnt,"",""
geom_v3_g_cad_air_side_profile_039_bnd,"","155 156 158 256"
geom_v3_g_cad_air_side_profile_039_dom,"61",""
geom_v3_g_cad_air_side_profile_039_pnt,"",""
geom_v3_g_cad_air_side_profile_040_bnd,"","157 158 160 258 276 283"
geom_v3_g_cad_air_side_profile_040_dom,"62",""
geom_v3_g_cad_air_side_profile_040_pnt,"",""
geom_v3_g_cad_air_side_profile_041_bnd,"","159 160 162 275"
geom_v3_g_cad_air_side_profile_041_dom,"63",""
geom_v3_g_cad_air_side_profile_041_pnt,"",""
geom_v3_g_cad_air_side_profile_042_bnd,"","163 164 166 260 315"
geom_v3_g_cad_air_side_profile_042_dom,"64",""
geom_v3_g_cad_air_side_profile_042_pnt,"",""
geom_v3_g_cad_air_side_profile_043_bnd,"","165 166 168 259"
geom_v3_g_cad_air_side_profile_043_dom,"65",""
geom_v3_g_cad_air_side_profile_043_pnt,"",""
geom_v3_g_cad_air_side_profile_044_bnd,"","169 170 172 207 284"
geom_v3_g_cad_air_side_profile_044_dom,"66",""
geom_v3_g_cad_air_side_profile_044_pnt,"",""
geom_v3_g_cad_air_side_profile_045_bnd,"","171 172 174 206"
geom_v3_g_cad_air_side_profile_045_dom,"67",""
geom_v3_g_cad_air_side_profile_045_pnt,"",""
geom_v3_g_cad_air_side_profile_046_bnd,"","173 174 176 208 268 316"
geom_v3_g_cad_air_side_profile_046_dom,"68",""
geom_v3_g_cad_air_side_profile_046_pnt,"",""
geom_v3_g_cad_air_side_profile_047_bnd,"","175 176 178 267"
geom_v3_g_cad_air_side_profile_047_dom,"69",""
geom_v3_g_cad_air_side_profile_047_pnt,"",""
geom_v3_g_cad_air_side_profile_048_bnd,"","179 180 182 210 285"
geom_v3_g_cad_air_side_profile_048_dom,"70",""
geom_v3_g_cad_air_side_profile_048_pnt,"",""
geom_v3_g_cad_air_side_profile_049_bnd,"","181 182 184 209"
geom_v3_g_cad_air_side_profile_049_dom,"71",""
geom_v3_g_cad_air_side_profile_049_pnt,"",""
geom_v3_g_cad_air_side_profile_050_bnd,"","183 184 186 211 274 317"
geom_v3_g_cad_air_side_profile_050_dom,"72",""
geom_v3_g_cad_air_side_profile_050_pnt,"",""
geom_v3_g_cad_air_side_profile_051_bnd,"","185 186 188 273"
geom_v3_g_cad_air_side_profile_051_dom,"73",""
geom_v3_g_cad_air_side_profile_051_pnt,"",""
geom_v3_g_cad_air_side_profile_052_bnd,"","189 190 192 213 286"
geom_v3_g_cad_air_side_profile_052_dom,"74",""
geom_v3_g_cad_air_side_profile_052_pnt,"",""
geom_v3_g_cad_air_side_profile_053_bnd,"","191 192 194 212"
